Condition,Frequencies (Hz)
Addictions Drug General,"280, 350, 470, 1880, 4340, 5200"
Addison's Disease,"190, 750, 900, 7500"
"Adenoids,Nose","2, 14, 20, 333, 428, 444, 444, 588, 660, 727, 776, 780, 787, 802,  810, 880, 1550, 2170, 2720"
"Adenoma Basal Cell,Cancer","40, 5810"
Adenoma Beta-Cell,"40, 320, 700, 870, 5250"
"Adenoma Cervical,Uterus",433
Adenoma Microcystic,"40, 5810"
Adenoma Monomorphic,"40, 5810"
Adenoma,"40, 5810"
Adenoma,"40, 5810"
"Adenomatous Polyposis Coli (APC),DNA","40, 250, 500, 2500"
"Adenomyosis,Uterus","30, 250, 730, 3720, 7500"
Adenoviridae Infections,"180, 520, 800"
Adenoviridae Infections,"180, 520, 800"
Adenovirus,"333, 523, 666, 768, 786, 959, 962"
Adenovirus,"333, 523, 786"
"Adenovirus,Lungs Stomach Intestines","333, 523, 666, 768, 786, 959, 962"
Adenovirus,"333, 786"
Adhesions Pelvic,"20, 2500"
Adhesions,"190, 727, 760, 776, 787, 802, 880, 1550, 2170, 2720"
"Adhesive Capsulitis,Shoulder","60, 230"
Adiadochokinesia,"70, 830, 2500"
"Adie Syndrome,Nerve Eye","170, 460"
Adiposis Dolorosa,"160, 970"
"Adnexitis,Ovary","440, 441, 522, 572, 3343, 3833, 5312"
"Adnexitis,Ovary","440, 441, 522, 572, 3343, 3833, 5312"
"Adnexitis,Ovary","40, 460"
"Adrenal Function Normalize,Adrenals",1335
"Adrenal Gland Balance,Adrenals","20, 537, 1335, 2250, 10000"
"Adrenal Gland Diseases,Adrenals","70, 5500"
"Adrenal Gland Fever,Adrenals","20, 10000"
"Adrenal Gland Stimulant ,Adrenals","10, 20, 2250"
"Adrenal Gland Toxicity,Adrenals","20, 10000"
"Adrenal Hyperplasia,Adrenals","220, 970"
Adrenoleukodystrophy,"190, 750, 900, 5160"
Adrenomyeloneuropathy,"190, 750, 900, 5160"
Adverse Drug Reaction,"140, 200, 330, 420, 440, 520, 550, 760, 780, 1860"
Adynamia Geriatric,60
Adynamia Geriatric,"27, 35, 60"
Adynamia Geriatric,"49, 56"
"Afibrinogenemia,Blood","150, 180, 2500"
Aflatoxin,"344, 474, 476, 510, 568, 943"
Aflatoxin,466
"Aflatoxin,Liver","344, 474, 476, 510, 568, 943"
Aflatoxin,344
African Lymphoma,"50, 570, 850"
African Trypanosomiasis,"656, 780, 988"
Agammaglobulinemia,"120, 800"
Agitation,3
Agnosia,"120, 5620"
Aicardi Syndrome,"780, 8000"
"AIDS ,Immune System","727, 787, 880, 2489, 3175, 3275, 3375, 3475, 5000"
"AIDS ,Immune System","465, 727, 787, 880, 1500, 2489"
"AIDS ,Immune System","249, 418, 727, 787, 880, 1500, 1550, 2489, 3100, 3175, 3475"
AIDS Kaposi's Sarcoma,"249, 418"
"AIDS Secondary,Immune System","33, 60, 720, 720, 960, 960, 1113, 1113, 1260, 1260, 2128, 2128, 6121, 6121"
AIDS,"150, 5580"
AIDS/HIV,"180, 240"
Airsickness,90
Akathisia,"3, 230"
Alagille Syndrome,"80, 800, 950"
"Alcoholism ,Liver",10000
"Alcoholism ,Liver","727, 787, 880, 10000"
Alcoholism,10000
Aldrich Syndrome,"200, 770, 2530, 3400, 5590"
Alertness Increase,10
Alexander Disease,"140, 780, 2500"
Alignment of Individual,"20, 60, 95, 125, 225, 427, 440, 660, 727, 787, 800, 880, 5000, 10000"
Alkalosis,"50, 750, 2250"
Alkaptonuria,"70, 400, 7500"
Allergic Granulomatous Angiitis,"190, 520, 750, 1780"
Allergies,"72, 300, 333, 444, 522, 727, 787, 880, 5000, 10000"
Allergies,"3, 330, 727, 740, 787, 880, 1234, 1550, 5000, 7344, 10000"
Allergy,"40, 370, 650, 800, 2500"
Alopecia,"3, 20, 28, 95, 146, 330, 465, 727, 787, 800, 880, 1552, 2170, 2720, 5000, 10000"
"Alopecia,Hair","20, 146, 465, 727, 787, 800, 880, 1552, 10000"
Alopecia,"60, 5070"
Alpha 1-Antitrypsin Deficiency,"40, 120, 7500"
Alpha Streptococcus,3600
Alpha-Mannosidosis,"750, 7500"
Alphavirus Infections,"120, 780"
"ALS ,Nerve","254, 470, 484, 610, 644, 690, 790, 864, 986, 1800"
"ALS ,Nerve",2900
Alternaria Tenuis,853
Alternaria Tenuis,"304, 853"
Alveolitis Fibrosing,"410, 620, 650, 4970, 7500"
Alzheimer Disease,"110, 7500"
"Alzheimers ,Brain","303, 430, 620, 624, 840, 866, 2213, 5148"
Alzheimers,"303, 430, 620, 624, 840, 866, 2213, 5148"
Alzheimers,"430, 620, 624, 840, 866, 2213, 5148"
Alzheimers,"2213, 5148"
Amaurosis Fugax,"180, 780, 2500"
Amblyopia,"50, 700, 2500"
"Amenorrhea,Menstruation","20, 465, 727, 760, 787, 802, 880, 1550, 10000"
Amino Acid Metabolism,"170, 2500"
"Amnesia,Brain","70, 2250"
Amniotic Band Syndrome,"70, 180, 5620"
Amoeba General,"310, 333, 532, 732, 769, 827, 1522"
"Amoeba Hepar Abscess,Liver",344
"Amoeba Hepar Abscess,Liver","344, 605"
"Amoeba Hepar Abscess,Liver",344
Amoeba,"310, 333, 532, 732, 827, 1522"
Amoebiasis,"520, 2500"
"Amoebic Dysentery,Intestines","148, 166, 308, 393, 631, 778"
Amphibian Diseases,"70, 5810"
Amyloidosis,"60, 7500"
Amyotonia Congenita,"40, 350, 6790"
"Amyotrophic Lateral Sclerosis,Nerve","254, 484, 610, 644, 690, 790, 864, 986"
"Amyotrophic Lateral Sclerosis,Nerve","20, 2500"
"Amyotrophic Lateral Sclerosis,Nerve","254, 484, 610, 644, 660, 690, 692, 790, 864, 980, 986, 2900"
"Anal Itching,Anus","20, 72, 95, 120, 125, 444, 465, 727, 760, 773, 787, 826, 827, 835, 880, 1865, 4152, 10000"
Analgesia,"40, 570"
Analgesic Pain Relief,1800
Analgesic,10
Anankastic Personality Disorder,"190, 750, 1420, 5250"
"Anaphylaxis,Skin",10000
Anaphylaxis,"140, 750, 2500"
Anaplasma Lyme,387
Anaplasma Marginale,3600
Anaplasmosis,"100, 240, 800"
Ancylostoma Braziliense,3600
Ancylostoma Caninum,3600
Ancylostoma Caninum,3600
Androgen Insensitivity Syndrome,"60, 7500"
"Anemia Aplastic,Blood","650, 2500, 7500"
"Anemia Hemolytic,Blood","20, 120, 5160"
"Anemia Iron-Deficiency,Blood","100, 320, 2500"
"Anemia Megaloblastic,Blood","110, 300, 370"
"Anemia,Blood","80, 550, 5970"
"Anemia,Blood",5000
"Anencephaly,Brain","110, 490, 1000, 2250"
"Aneurysm,Veins","20, 72, 95, 125, 444, 465, 727, 727, 760, 787, 880, 1865"
Aneurysm,"150, 780, 2500"
Angelman Syndrome,"200, 7500"
"Angina Pectoris,Heart","100, 680, 830"
"Angina Throat,Throat","333, 428, 465, 660, 727, 776, 787, 804"
"Angina,Heart","428, 465, 660, 727, 776, 787"
"Angioedema,Skin","120, 520, 800, 5070"
"Angiofibroma,Skin","160, 620, 7500"
"Angiolymphoid Hyperplasia with Eosinophilia,Skin","100, 1000, 5500"
Angiomyxoma,"50, 310, 1590, 5030, 7290"
Animal Diseases,"50, 570, 870, 2500, 5810"
"Aniridia,Eye","70, 240, 680, 830, 2500"
Anisakiasis,"40, 230, 780, 5620"
Anisocoria,"120, 570, 830, 2500, 5330"
Ankyloglossia,"80, 780, 5810"
Anomia,"520, 800, 7500"
"Anophthalmos,Eye","120, 970, 5050, 7000"
"Anosmia,Nose","20, 10000"
Anoxia,"80, 850, 2500"
Anthracinum,633
"Anthrax,Skin Lungs Intestines","414, 500, 633, 768, 900, 1365"
"Anthrax,Skin Lung Intestines","70, 680, 930, 5500"
"Anti-Glomerular Basement Membrane Disease,Lung Kidney","170, 950, 2500"
Antiphospholipid Syndrome,"50, 730, 1550"
Antiseptic General,"300, 428, 444, 450, 465, 660, 727, 760, 787, 802, 880, 1550, 5000"
Antithrombin III Deficiency,"50, 650, 1000, 5620, 7000"
"Anus Diseases,Anus","50, 600, 2250, 7500"
Anxiety,"95, 300"
Anxiety Disorders,"80, 620, 870, 5810"
Anxiety,"304, 1800, 6130"
"Aortic Valve Stenosis,Heart","30, 250, 900"
"Aphasia,Brain","140, 620, 850, 5070"
Aphthovirus,"232, 237, 1214, 1243, 1244, 1271, 5411"
"Apnea,Sleep","60, 830, 970, 5160"
Apoplexy,"20, 40, 72, 333, 428, 522, 600, 625, 727, 787, 880, 1800, 1865"
"Appendicitis,Appendix","140, 460, 7500"
Appetite Lack Of,"20, 72, 444, 465, 727, 787, 880, 1865, 10000"
"Apraxias,Brain","600, 1000, 5000"
"Aprosodia,Brain","180, 1070, 4830"
Arachnoid Cysts,"160, 600, 900, 2500, 3000"
Arachnoiditis,"160, 600, 850, 2500, 7500"
Araneae Thrush,"727, 787, 880"
Arbovirus Infections,"70, 680, 2330"
Aremes Tennis,667
Argentaffinoma,"50, 520, 600, 930"
Arm Injuries,"180, 900, 5500"
Arnica,1042
Arnold-Chiari Malformation,"60, 830, 2500"
Arrhythmia Cardiac,"900, 780, 830, 7500, 8000"
Arrhythmia Cardiac,"90, 780, 830, 7500, 8000"
Arrhythmogenic Right Ventricular Dysplasia,"50, 400, 850, 2750, 5000"
Arsenic Aib,562
Arsenic Alb,562
Arsenic as,393
Arsenic Poisoning,"100, 830, 5500"
"Arteriosclerosis,Veins","20, 727, 776, 787, 880, 1500, 1600, 1800, 2170, 2720, 10000"
Arteriosclerosis,"70, 730, 5000, 7250"
Arteriovenous Malformations,"100, 830, 5070"
Artery Plaque,"4632, 5364, 5885"
Artery Stimulator,"727, 787, 800, 880"
Arthritis,"3, 10, 20, 25, 26, 28, 30, 40, 60, 80, 600, 727, 787, 802, 880, 962, 1200, 1550, 1664, 5000, 10000"
Arthritis Gout,"20, 660, 690, 787, 880, 3000, 10000"
Arthritis Juvenile Chronic,"60, 780, 7500"
Arthritis Juvenile Rheumatoid,"60, 780, 7500"
Arthritis Post-infectious,"60, 650, 800, 5810"
Arthritis Reactive,"60, 650, 800, 5810"
Arthritis Rheumatoid,"250, 262, 600, 625, 650, 727, 751"
Arthritis Rheumatoid,"190, 1000, 2800"
Arthritis Rheumatoid,"250, 262, 600, 625, 650, 727, 766, 787"
Arthritis Rheumatoid,"190, 1000, 2800"
Arthritis Secondary,"770, 1000, 1500, 2720"
Arthritis,"50, 750, 900, 9000"
Arthritis,1664
Arthritis,"50, 750, 900, 9000"
Arthrogryposis,"190, 570, 830, 2250, 5090"
Arthropathy Neurogenic,"110, 5330, 7000"
Arthropod Diseases,"60, 850, 7800"
Asbestos in Lungs,5111
Asbestosis,"40, 970, 7500"
Ascariasis,"60, 1330, 5270"
Ascaris Larvae,3600
Ascaris Lumbricoides All Stages,"120, 240, 360, 1200"
Ascaris Megalocephala (Male),3600
Ascaris Megalocephala All Stages,"300, 360"
Ascites,70
Ascites,"70, 520, 6230"
Ascorbic Acid Deficiency,"50, 730, 2950"
"Asian Grippe A,Lung","434, 516, 656"
Asperger Syndrome,"40, 400, 2500"
"Aspergillosis,Lung","120, 830, 5000, 7250"
"Aspergillus Flavus,Lung","247, 1823, 1972"
"Aspergillus Flavus,Lung",1823
Aspergillus Glaucus,524
"Aspergillus Glaucus,Brain","524, 758"
"Aspergillus Glaucus,Brain",524
Aspergillus Niger,374
"Aspergillus Terreus,Lung","339, 743"
"Aspergillus Terreus,Lung",743
"Asphyxia,Lung","30, 700, 2500, 5070"
"Asthma ,Lung","1233, 1283"
"Asthma ,Lung","20, 72, 95, 125, 146, 444, 522, 727, 787, 880, 1233, 1283, 1500, 1600, 1800, 2170, 2720"
"Asthma ,Lung","47, 120, 727, 787, 880, 1234, 3672, 7346, 10000"
"Asthma ,Lung","1233, 1234, 1283, 3672, 7344"
"Asthma ,Lung","727, 787, 880, 1500, 1600, 1800, 2170, 2720"
"Asthma Bronchial,Lung","8, 548, 943"
Asthma,"570, 900, 2500, 3000"
Astigmatism,"600, 900, 7500"
Astral Projection,63
Astral Travel,"22, 40"
"Astrocytoma,Brain","20, 543, 641, 666, 690, 857, 2127, 2170"
Astrocytoma,857
Astrocytoma,"20, 570, 9000"
"Ataxia General,Nerve","20, 72, 444, 600, 625, 650, 727, 776, 787,  814, 880, 1500, 1600, 1800, 1865, 2170, 2720"
Ataxia Telangiectasia,"130, 650"
Atelectasis Pulmonary,"50, 730, 950, 5000"
"Athletes Foot,Feet","20, 304, 379, 464, 644, 727, 766, 787, 802, 880, 1552, 3176, 5000, 9999"
Atrial Fibrillation,"80, 730, 970, 5750"
Atrophy Muscular Peroneal,"190, 1220, 4330"
Attention Deficit Disorder with Hyperactivity,"10, 250, 320, 460, 520, 750"
Attention Deficit Disorder,10
Attention Deficit Disorder,"40, 250, 460, 320, 520, 750"
"Aura Builder,Energy",20
"Aura,Energy",2675
Auricular Cancer,"80, 120, 850"
Autistic Disorder,"30, 250, 650, 930, 7500"
Auto Intoxication,"20, 333, 522, 727, 787, 800, 880, 1550, 10000"
Autoimmune Diseases,"240, 5090"
Autointoxication,"20, 146, 522, 727, 787, 800, 880, 1550, 10000"
Autonomic Nervous System Diseases,"50, 370, 830, 2750, 3000"
Avian Influenza,"170, 240, 750, 970, 5620"
Avitaminosis,"40, 260, 460, 7500"
Awakening Epilepsy,"70, 180, 730, 870, 5710, 7250"
B Coli Rod,"727, 787, 800, 803, 943, 8020"
B Subtilis,"432, 722, 822, 1246"
B-Cell Lymphoma,"410, 930, 2750"
Babesia Lyme,"76, 570, 650, 753, 1583, 1584, 5776"
"Babesia,Blood","76, 432, 570, 753, 1583, 1584, 5776"
Babesiosis,"40, 180, 700, 900, 7500"
Babesiosis,"76, 432, 570, 753, 1583, 1584, 5776"
"Bacillinum,Respiratory","132, 423, 432, 785, 853, 854, 921, 1027, 1042, 1932"
Bacillinum,"132, 854, 921, 1042, 1932"
Bacillus Anthracis,"622, 623, 624, 627, 628, 629, 632, 633, 634, 637, 638, 639, 642, 643, 644"
Bacillus Anthracis,"129, 224, 273, 400, 414, 420, 500, 633, 768, 900, 930, 1365, 1370, 4000"
Bacillus Anthracis,3600
Bacillus Anthracis Spores,3600
Bacillus Anthracis,3600
Bacillus Botulinus,"172, 518, 533, 639, 660, 683, 690, 691, 802, 831, 1372, 1550, 1552, 10000"
"Bacillus Coli Rod Form,Intestines","318, 417, 683, 800, 8020"
"Bacillus Coli Virus,Intestines",770
"Bacillus Infections,Colon","727, 787, 800, 802, 880, 1552"
Bacillus Infections,"50, 370, 830, 2500, 3000"
Bacillus Licheniformis,2655
Bacillus Subtilis Niger,3600
Bacillus Subtilis,"432, 722, 822, 1246"
Bacillus Thuringiensis,"520, 902, 1405, 2551"
Bacillus X Cancer Carcinoma,2128
Bacillus Y Cancer Sarcoma,2008
Back Harm,"727, 787, 880, 5000, 10000"
Back Pain Generalized,328
Back Pain Reduce,326
Back Pain,"140, 400, 7500"
"Backache ,Back","300, 360, 360, 727, 760, 787, 802, 880, 1550, 10000"
"Backache ,Back","3, 432, 465, 727, 728, 776, 784, 787"
"Backache and Spasms ,Back","120, 212, 240, 424, 465, 528, 727, 760, 787, 880, 1550, 2112, 5000, 10000"
"Backache Chronic Lower ,Back",728
Bacteremia,"350, 870, 2500"
Bacteria General,"20, 465, 660, 664, 690, 784, 787, 800, 802, 832, 866, 880, 1550"
"Bacteria Lactis Nosode,Back","512, 526, 798, 951, 5412"
Bacteria Lactis Nosode,"512, 526, 5412"
Bacterial Capsules (Capsular),3600
Bacterial Infections and Mycoses,"50, 370, 830, 2500, 3000"
Bacterial Infections Gram Positive,"150, 920, 2750"
Bacterial Infections,"20, 465, 664, 690, 727, 784, 787, 800, 832, 866, 880, 1550"
Bacterium Coli,"358, 539, 642"
Bacterium Coli,"282, 333, 413, 957, 1320, 1722"
Bacterium Coli,642
"Bacterium Coli,Intestines","358, 539, 642"
Bacterium Lactis Nosode,"512, 526, 798, 951, 5412"
Bacteroides Fragilis,633
"Bacteroides Fragilis,Respiratory","633, 634, 635, 636, 637"
Bacteroides Fragilis,3600
"Bad Breath,Mouth","20, 727, 787, 802, 880, 1550"
"Bad Complexion,Skin",5000
Baker's Yeast Allergy,"775, 843"
Baker's Yeast,775
Balance,90
Balance,360
Balancing of Body,"33, 1130, 1131"
Balanitis,"30, 250, 930, 7500"
Balantidium Coli Cysts,3600
Banal,1778
Bannayan-Zonana Syndrome,"240, 700, 7500"
Banti's Syndrome,1778
Barley Smut,377
Barley Smut,"224, 377, 1447"
Barley Smut,377
Barotrauma,"180, 230, 850, 5810"
Barrett's Esophagus,"20, 146, 360, 676, 727, 776, 787, 802, 880, 10000"
Barrett's Esophagus,"50, 460, 800, 7500"
Barth Syndrome,"50, 180"
Bartonella Infections,"70, 120, 1630"
Bartonella Lyme,832
Bartonella Quintana,"356, 357, 547"
Basal Cell Carcinoma,"480, 480, 666, 1800, 2008, 2125, 2128, 2131, 2140, 2145, 3672, 6130, 6601, 6672"
Basal Cell Nevus Syndrome,"100, 570, 800, 7500"
"Basidiomycetes,Skin",751
BCG Vaccine,"277, 725, 768, 832"
BCG Vaccine,277
Beals Syndrome,"70, 290"
Beckwith-Wiedemann Syndrome,"110, 550"
Bed Wetting,"20, 112, 120, 465, 727, 787, 802, 880, 1550"
Bed Wetting,"465, 660, 690, 787, 802, 880, 1550, 2050, 2128, 2250, 10000"
Bedsores,"20, 73, 250, 465, 660, 690, 784, 787, 802, 880, 1550"
Bedsores,"20, 465, 727, 787, 802, 880, 1550"
Bedsores,"20, 73, 465, 727, 787, 802, 880, 1550"
Bedsores,"180, 620, 930"
Behcet Syndrome,"110, 550, 850"
Bell's Palsy,"3, 20, 33, 35, 40, 72, 110, 125, 194, 222, 304, 464, 600, 625, 650, 727, 776, 787, 833, 880, 1250"
Bell's Palsy,"3, 20, 33, 35, 40, 72, 110, 125, 194, 222, 304, 464, 600, 625, 650, 727, 776, 787, 833, 880, 1250"
"Bell's Palsy,Nerve","3, 20, 33, 35, 40, 72, 110, 125, 194, 222, 304, 464, 600, 625, 650, 727, 776, 787, 833, 880, 1250"
Bell's Palsy,120
Berger's Disease,"150, 240, 680, 830"
Beriberi,"120, 220, 5500, 5810"
Bermuda Smut,971
Bermuda Smut,"422, 644, 767, 780, 847, 971"
Berylliosis,"140, 260, 5620"
Besnoitia (Lung Sect.) Protozoan,3600
Beta Streptococcus,3600
Beth Sutton's Bar Fungus,854
Bile Duct Spasms and Pain,2
Bilharzia,"329, 9889"
Biliary Atresia,"160, 2500"
Biliary Cirrhosis,"381, 514, 677, 2271"
Biliary Cirrhosis,"170, 381, 514, 677, 715, 774, 776, 1250, 2271"
Biliary Tract Diseases,"170, 490, 2500"
Biliousness,"465, 660, 690, 787, 802, 832, 880, 1550, 10000"
Biliousness,"465, 727, 787, 802, 832, 880, 1550, 5000, 10000"
"Biliousness,Gallbladder","465, 727, 787, 802, 832, 880, 1550, 10000"
Bilirubin,"717, 726, 731, 863"
"Bilirubin,Liver","649, 717, 726, 731, 734, 863, 9305"
Bilirubin,"717, 726, 731, 863"
Biotinidase Deficiency,"190, 350"
Bipolar Disorder,"160, 800, 7500"
Bipolar Disorder,"300, 304, 802, 6000"
Bird Diseases,"170, 830"
Bird Flu Virus,"728, 800, 880, 7760, 8000, 8250"
Bird Tuberculosis,590
Birt-Hogg-Dube Syndrome,"180, 230, 970, 7500"
Bites and Stings,"30, 550, 780, 7250"
Bites Insects,"727, 787, 880, 5000"
Biting of Insects,"727, 880"
Black Death,"20, 210, 216, 333, 500, 523, 660, 690, 768, 786, 787, 880"
Black Vomit,"20, 60, 72, 95, 142, 178, 232, 432, 660, 690, 733, 734, 779, 880, 1187, 10000"
Black Widow Spider,"376, 728"
Black Widow Spider,"376, 660, 690"
Blackheads,778
Blackwater Fever,"40, 240, 570, 1000"
"Bladder and Prostate Complaints,Bladder","20, 465, 727, 787, 802, 880, 1550"
Bladder and Prostate Complaints,"20, 465, 727, 787, 802, 880, 1550, 2050"
Bladder Diseases,"40, 550, 780, 970, 5090, 7250"
Bladder Exstrophy,"20, 900, 2250, 5000"
"Bladder TBC,Bladder","360, 724, 726, 642, 771"
Bladder TBC,771
"Bladder,Bladder","727, 787, 800, 880"
Bladder,"352, 727, 787, 800, 880"
Blastocystis Hominis Infections,"10, 460, 750, 2750, 7500"
Blastocystis Hominis Infections,"40, 460, 750, 2750, 7500"
Blastocystis Hominis,"365, 595, 844, 848, 1201, 1243"
"Blastocystis Hominis,Intestines","365, 595, 844, 848, 1201, 1243, 5777"
Blastocystis Hominis,"365, 595, 844, 848"
Blastocystis Hominis,"210, 365, 595, 844, 848, 1201, 1243, 5777"
Blepharisma,3600
Blepharisma,3120
Blepharitis,"100, 830, 5000"
Blepharoptosis,"70, 250"
Blepharospasm,"120, 230, 730, 830, 5620, 7250"
Blister,"465, 660, 690, 787, 880, 10000"
Blood Circulation Sluggish,"16, 17, 40"
Blood Circulation Stimulate Normal,337
Blood Cleanser Cancer,"727, 787, 880, 2008, 2127, 5000, 10000"
"Blood Cleanser,Blood","727, 787, 880, 2008, 2127, 5000"
Blood Clots,685
Blood Clots,"6, 28, 59, 685"
Blood Coagulation Disorders,"70, 520"
Blood Conduction,3481
"Blood Diseases,Blood","727, 787, 880, 5000"
Blood Flow Increase,17
Blood Flukes,"329, 419, 635, 847, 867, 5516, 7391, 9889"
Blood Hemoglobin Production,2452
Blood Hypertension,"6, 20, 65, 72, 95, 304, 660, 690, 787, 880, 10000"
Blood Hypotension,"20, 660, 690, 787, 880"
"Blood Plasma Cleaner,Blood",800
Blood Platelet Disorders,"10, 520"
Blood Platelet Disorders,"40, 520"
Blood Pressure Balance,15
Blood Pressure High Renin Induced,6
Blood Pressure High Spastic,95
"Blood Pressure High,Blood","6, 20, 304, 727, 728, 787, 10000"
Blood Pressure High,"6, 15, 20, 95, 304, 324, 528, 727, 787, 880, 2112, 3176, 10000"
"Blood Pressure Low,Blood","20, 727, 787, 880"
Blood Pressure Normalize,15
Blood Pressure Reduce,4
"Blood Red Cell Production,Blood",1524
"Blood White Cell Production,Blood",1434
Bloom Syndrome,"70, 490"
Blue Cohosh,364
Blue Rubber Bleb Nevus Syndrome,"80, 240, 4220"
Boils,"48, 60, 100, 333, 465, 523, 590, 660, 690, 768, 786, 787, 802, 880, 1550"
Boils Carbuncles,"20, 465, 660, 727, 787, 880, 1550, 5000"
Boils Furunculosis,"20, 116, 200, 465, 660, 727, 728, 770, 784, 787, 802, 880, 1000, 1550"
Boils Open,20
Boils Pus,5000
Boils,"20, 465, 660, 727, 770, 787, 802, 880, 1550"
Bone Conduction,4902
Bone Disease and Periodontal,"600, 625, 650, 776, 787, 880, 900, 1600, 1800"
"Bone Disease Periodontal Disease,Oral Cavity","600, 625, 650, 727, 776, 787, 880, 1600, 1800"
Bone Diseases,"230, 600"
Bone Fractures,"3, 220, 230, 380, 660, 690, 787, 802, 880, 1550, 2720, 10000"
Bone Growth,"25, 50"
Bone Neoplasms,"570, 830, 2850"
Bone Regeneration,"7, 424, 465, 660, 690, 784, 787, 880, 1552, 1560, 1577, 2720, 10000"
"Bone Regeneration,Bone","2720, 10000"
"Bone Spur ,Bone",250
"Bone Spur ,Bone",4931
"Bone Spurs,Bone",250
Bone Stimulate Healing,7
Bone Stimulation,50
Bone Trauma,"3, 220, 230, 380, 660, 690, 787, 802, 880, 1550, 2720, 10000"
"Bone Trauma,Bone","380, 727, 787, 802, 880, 1550, 2720, 10000"
Bones Stimulate Healing,"7, 25, 50"
Bordetella Parapertussis,"46, 484, 526, 660, 690, 697, 765, 906, 9101"
Bordetella Parapertussis,"776, 787, 802, 832, 880, 1234, 1550, 7344"
Bordetella Pertussis,"46, 284, 526, 660, 690, 697, 765, 906, 9101"
Bordetella Pertussis,"776, 787, 802, 832, 880, 1234, 1550, 7344"
Bordetella Pertussis,3600
Borna Disease Virus BDV,"776, 787, 802, 832, 840, 880, 1550, 1570, 1998, 2008, 2052, 2489, 2490, 5000"
Borna Disease,"40, 350, 2500"
Borrelia Burgdorferi Lyme Disease,3600
Borrelia Burgdorferi Lyme,"432, 345, 612, 864, 2016"
Borrelia Hatchlings and Eggs,"203, 214, 414, 589, 640, 667, 840, 1000, 1072, 1087, 1105, 8554"
Borrelia Lyme,"485, 490, 495, 500, 505, 610, 615, 620, 625, 630, 690, 785, 790, 795, 864"
Borrelia Lyme,"615, 625, 1520, 2016, 2050"
Borrelia Lyme,920
Borrelia Lyme B,"62, 144, 250, 345, 432, 451, 464, 581, 600, 604, 672, 726, 749, 758, 765"
Borrelia Lyme Secondary,"254, 525, 597, 644, 699, 885"
Borrelia Lyme Tertiary,"306, 432, 484, 610, 625, 690, 790, 864, 2016"
Borrelia Spirochete A,444
Borrelia Spirochete B,"20, 24, 43, 70, 73, 133, 243, 324, 331, 332, 333, 367, 444, 445, 544, 566, 644, 736, 776"
Borrelia Spirochete Inhabited Microbes,3000
Borrelia,"254, 644"
Borreliosis,"344, 345, 432, 485, 495, 510, 534, 605, 615, 620, 644, 688, 699, 732, 758, 810, 864, 920, 943, 1520"
Borreliosis,"1500, 2127, 2416, 2624, 9664"
Borreliosis,"254, 345, 525, 605, 644, 673, 797, 884, 1455"
